IDTipo,Idmodo,Comentario,Idcausa,LambdaB,PiTemp,PiP,PiSR,PiS,PiQ,PiE,PiV,Lambda
Capacitor,Corto circuito (eléctrico),Tensión=25V,Envejecimiento,0.00099,1.3,,1,,10,1,1,0.0104
Capacitor,Circuito Abierto (eléctrico),Tensión=25V,Envejecimiento,0.00099,1.3,,1,,10,1,1,0.0104
Capacitor,Pérdidas (eléctricas),Tensión=25V,Envejecimiento,0.00099,1.3,,1,,10,1,1,0.0104
Resistor,Corto circuito (eléctrico),Metalfilm Potencia=0.125,Envejecimiento,0.0037,1.1,0.44,,0.79,10,4,,0.005659
Resistor,Circuito Abierto (eléctrico),Metalfilm Potencia=0.125,Envejecimiento,0.0037,1.1,0.44,,0.79,10,4,,0.005659
Resistor,Pérdidas (eléctricas),Metalfilm Potencia=0.125,Envejecimiento,0.0037,1.1,0.44,,0.79,10,4,,0.005659
Cristal,Falla de tolerancia (baja),,Temperatura,,,,,,2.1,3,,0.0693
Cristal,Falla de tolerancia (alta),,Temperatura,,,,,,2.1,3,,0.0693
Integrado,Corto circuito (eléctrico),Compuertas Lógicas,Temperatura,,0.15,,,,10,2,,0.151
Integrado,Circuito Abierto (eléctrico),Compuertas Lógicas,Temperatura,,0.15,,,,10,2,,0.151
Integrado,Pérdidas (eléctricas),Compuertas Lógicas,Temperatura,,0.15,,,,10,2,,0.151
Integrado,Falla a cambiar (switch),Compuertas Lógicas,Temperatura,,0.15,,,,10,2,,0.151
